lambda,r
506.6018066,689
506.7624512,785
506.9230957,837
507.0837402,754
507.2443542,693
507.4049683,676
507.5655518,768
507.7261658,690
507.8867493,681
508.0473328,656
508.2079163,800
508.3684692,758
508.5290527,805
508.6896057,808
508.8501587,762
509.0106812,628
509.1712036,681
509.3317566,718
509.4922485,776
509.652771,801
509.8132629,678
509.9737549,700
510.1342468,627
510.2947388,792
510.4552002,698
510.6156616,751
510.776123,740
510.9365845,881
511.0970154,694
511.2574463,763
511.4178772,801
511.5783081,744
511.7387085,626
511.8991394,835
512.0595093,809
512.2199097,808
512.3803101,756
512.5406494,761
512.7010498,753
512.8613892,808
513.0217285,640
513.1821289,720
513.3424683,896
513.5027466,716
513.6630859,842
513.8234253,902
513.9837036,850
514.144043,732
514.3043213,672
514.4645996,759
514.6248779,901
514.7851563,715
514.9454346,800
515.1056519,690
515.2659302,769
515.4261475,774
515.5864258,821
515.7466431,782
515.9068604,819
516.0670776,948
516.2272949,757
516.3874512,628
516.5476685,681
516.7078247,805
516.868042,884
517.0281982,728
517.1883545,898
517.3485107,930
517.508667,702
517.6687622,830
517.8289185,610
517.9890137,869
518.1491699,613
518.3092651,879
518.4693604,779
518.6294556,671
518.7895508,698
518.949585,746
519.1096802,751
519.2697754,751
519.4298096,821
519.5898438,797
519.7498779,691
519.9099121,699
520.0699463,701
520.2299805,820
520.3899536,672
520.5499878,585
520.7099609,627
520.8699951,754
521.0299683,718
521.1899414,700
521.3498535,932
521.5098267,651
521.6697998,759
521.8297119,701
521.9896851,758
522.1495972,806
522.3095093,781
522.4694214,977
522.6293335,780
522.7892456,805
522.9490967,819
523.1090088,782
523.2688599,688
523.428772,658
523.588623,624
523.7484741,791
523.9083252,803
524.0681763,664
524.2279663,803
524.3878174,742
524.5476074,879
524.7073975,867
524.8672485,694
525.0270386,741
525.1868286,695
525.3465576,689
525.5063477,769
525.6661377,685
525.8258667,736
525.9855957,703
526.1453247,750
526.3050537,780
526.4647827,810
526.6245117,846
526.7842407,749
526.9439087,673
527.1036377,630
527.2633057,859
527.4229736,721
527.5826416,856
527.7423096,748
527.9019775,729
528.0616455,723
528.2212524,812
528.3809204,772
528.5405273,834
528.7001343,756
528.8597412,823
529.0193481,736
529.1789551,658
529.338562,845
529.4981689,998
529.6577148,751
529.8172607,864
529.9768066,845
530.1364136,724
530.2959595,709
530.4554443,923
530.6149902,836
530.7745361,666
530.934021,648
531.0935059,814
531.2530518,899
531.4125366,684
531.5720215,871
531.7315063,928
531.8909302,737
532.050415,793
532.2098389,816
532.3693237,959
532.5287476,770
532.6881714,718
532.8475952,642
533.007019,838
533.1663818,685
533.3258057,841
533.4851685,727
533.6445923,791
533.8039551,781
533.9633179,690
534.1226807,756
534.2820435,963
534.4414063,667
534.600708,666
534.7600708,757
534.9193726,940
535.0786743,721
535.2379761,711
535.3972778,777
535.5565796,762
535.7158813,800
535.8751221,822
536.0344238,679
536.1936646,710
536.3529053,785
536.512207,816
536.6714478,755
536.8306274,743
536.9898682,801
537.1491089,678
537.3082886,688
537.4674683,801
537.626709,643
537.7858887,874
537.9450684,769
538.104248,870
538.2633667,738
538.4225464,755
538.581665,775
538.7408447,878
538.8999634,637
539.059082,819
539.2182007,791
539.3773193,855
539.536377,721
539.6954956,794
539.8546143,763
540.0136719,847
540.1727295,761
540.3317871,810
540.4908447,773
540.6499023,761
540.80896,783
540.9679565,768
541.1270142,657
541.2860107,806
541.4450073,872
541.6040039,873
541.7630005,796
541.9219971,734
542.0809937,641
542.2399292,760
