lambda,b
543.6703491,835
543.8292236,737
543.9880981,690
544.1469727,751
544.3058472,751
544.4647217,643
544.6235962,754
544.7824097,827
544.9412842,693
545.1000977,675
545.2589111,851
545.4177246,781
545.5765381,625
545.7353516,766
545.894165,713
546.0529175,715
546.211731,878
546.3704834,946
546.5292358,881
546.6879883,834
546.8467407,633
547.0054932,793
547.1641846,907
547.322937,742
547.4816284,793
547.6403809,900
547.7990723,938
547.9577637,597
548.1164551,749
548.2751465,872
548.4337769,854
548.5924683,637
548.7510986,824
548.909729,836
549.0684204,914
549.2270508,729
549.3856201,756
549.5442505,786
549.7028809,768
549.8614502,779
550.0200806,818
550.1786499,748
550.3372192,847
550.4957886,648
550.6543579,765
550.8129272,719
550.9714355,688
551.1300049,803
551.2885132,748
551.4470215,680
551.6055298,645
551.7640381,866
551.9225464,655
552.0810547,784
552.239563,808
552.3980103,750
552.5564575,671
552.7149658,633
552.8734131,800
553.0318604,636
553.1902466,705
553.3486938,855
553.5071411,704
553.6655273,880
553.8239746,800
553.9823608,682
554.1407471,649
554.2991333,660
554.4575195,748
554.6158447,882
554.774231,711
554.9325562,672
555.0908813,714
555.2492676,614
555.4075928,711
555.565918,949
555.7241821,838
555.8825073,845
556.0408325,711
556.1990967,777
556.3573608,690
556.515625,595
556.6738892,824
556.8321533,703
556.9904175,604
557.1486816,685
557.3068848,659
557.4651489,758
557.6233521,737
557.7815552,700
557.9397583,646
558.0979614,643
558.2561646,651
558.4143066,732
558.5725098,800
558.7306519,789
558.8887939,839
559.046936,779
559.2050781,744
559.3632202,646
559.5213623,674
559.6794434,703
559.8375854,895
559.9956665,704
560.1537476,801
560.3118896,757
560.4699097,795
560.6279907,801
560.7860718,768
560.9441528,626
561.1021729,700
561.2601929,663
561.4182129,680
561.5762329,646
561.7342529,699
561.8922729,850
562.050293,795
562.208252,782
562.366272,707
562.524231,631
562.6821899,685
562.8401489,745
562.9981079,781
563.1560669,631
563.3139648,785
563.4719238,734
563.6298218,746
563.7877808,834
563.9456787,679
564.1035767,732
564.2614136,721
564.4193115,645
564.5772095,741
564.7350464,671
564.8929443,710
565.0507813,682
565.2086182,640
565.3664551,742
565.524292,737
565.6820679,861
565.8399048,625
565.9976807,660
566.1555176,919
566.3132935,650
566.4710693,698
566.6288452,658
566.7866211,636
566.9443359,751
567.1021118,797
567.2598267,795
567.4175415,581
567.5753174,742
567.7330322,851
567.890686,714
568.0484009,645
568.2061157,702
568.3637695,731
568.5214844,691
568.6791382,807
568.836792,680
568.9944458,755
569.1520996,761
569.3096924,827
569.4673462,773
569.625,838
569.7825928,695
569.9401855,706
570.0977783,685
570.2553711,762
570.4129639,637
570.5704956,727
570.7280884,675
570.8856201,786
571.0432129,699
571.2007446,692
571.3582764,667
571.5158081,667
571.6733398,597
571.8308105,717
571.9883423,754
572.145813,713
572.3032837,815
572.4607544,652
572.6182251,718
572.7756958,631
572.9331665,706
573.0906372,651
573.2480469,788
573.4054565,887
573.5629272,815
573.7203369,693
573.8777466,719
574.0350952,686
574.1925049,825
574.3499146,751
574.5072632,752
574.6646118,755
574.8219604,593
574.9793091,672
575.1366577,801
575.2940063,806
575.451355,605
575.6086426,956
575.7659912,646
575.9232788,738
576.0805664,683
576.237854,856
576.3951416,878
576.5523682,609
576.7096558,751
576.8669434,585
577.0241699,712
577.1813965,1165
577.338623,612
577.4958496,673
577.6530762,640
577.8103027,676
577.9674683,646
578.1246338,750
578.2818604,726
578.4390259,748
578.5961914,722
578.7533569,691
578.9105225,681
579.067627,621
579.2247925,676
579.381897,751
579.5390015,747
